企業規模,違反法條,違法次數,違法比例
中小企業,勞動基準法第7條第1項,24,0.14
中小企業,勞動基準法第30條,5,0.03
中小企業,勞動基準法第4條第1項,1,0.01
中小企業,勞動基準法第59條第1項第4款,10,0.06
中小企業,勞動基準法第30條第3項,1,0.01
中小企業,勞動基準法第17條,1,0.01
中小企業,勞動基準法第12條,2,0.01
中小企業,勞動基準法第59條第3項,1,0.01
中小企業,勞動基準法第33條,2,0.01
中小企業,勞動基準法第30條第6項,390,2.35
中小企業,勞動基準法第59條,49,0.3
中小企業,勞動基準法第49條第1項,120,0.72
中小企業,勞動基準法第7條第2項,2,0.01
中小企業,勞動基準法第28條第2項,12,0.07
中小企業,勞動基準法第30條第2項,4,0.02
中小企業,勞動基準法第38條,642,3.87
中小企業,勞動基準法第55條第1項,3,0.02
中小企業,勞動基準法第30條第1項,443,2.67
中小企業,勞動基準法第56條第2項,14,0.08
中小企業,勞動基準法第59條第2款,28,0.17
中小企業,勞動基準法第54條第2項,1,0.01
中小企業,勞動基準法第34條第2款,1,0.01
中小企業,勞動基準法第46條,7,0.04
中小企業,勞動基準法第13條,3,0.02
中小企業,勞動基準法第11條,2,0.01
中小企業,勞動基準法第36條,1837,11.06
中小企業,勞動基準法第28條,2,0.01
中小企業,勞動基準法第49條,1,0.01
中小企業,勞動基準法第34條,4,0.02
中小企業,勞動基準法第59條第1項,2,0.01
中小企業,勞動基準法第73條第2項,1,0.01
中小企業,勞動基準法第26條,6,0.04
中小企業,勞動基準法第70條第1項,21,0.13
中小企業,勞動基準法第73條,15,0.09
中小企業,勞動基準法第50條第2項,5,0.03
中小企業,勞動基準法第21條,25,0.15
中小企業,勞動基準法第59條第2項,6,0.04
中小企業,勞動基準法第1條,1,0.01
中小企業,勞動基準法第32條第1項,192,1.16
中小企業,勞動基準法第34條第2項,7,0.04
中小企業,勞動基準法第65條第1項,4,0.02
中小企業,勞動基準法第80條,176,1.06
中小企業,勞動基準法第70條,144,0.87
中小企業,勞動基準法第59條第1項第1款,6,0.04
中小企業,勞動基準法第12條第2項,2,0.01
中小企業,勞動基準法第9條第1項,58,0.35
中小企業,勞動基準法第16條第3項,25,0.15
中小企業,勞動基準法第2條,28,0.17
中小企業,勞動基準法第49條第5項,1,0.01
中小企業,勞動基準法第59條第4款,29,0.17
中小企業,勞動基準法第59條第4項,3,0.02
中小企業,勞動基準法第23條第3項,1,0.01
中小企業,勞動基準法第32條第2項,2386,14.37
中小企業,勞動基準法第36條第2項,1,0.01
中小企業,勞動基準法第37條,245,1.48
中小企業,勞動基準法第23條第1項,144,0.87
中小企業,勞動基準法第22條第2項,1370,8.25
中小企業,勞動基準法第30條第5項,1833,11.04
中小企業,勞動基準法第51條,1,0.01
中小企業,勞動基準法第55條第3項,1,0.01
中小企業,勞動基準法第63條第3項,1,0.01
中小企業,勞動基準法第43條,59,0.36
中小企業,勞動基準法第32條第.1項,1,0.01
中小企業,勞動基準法第37條第1項,1,0.01
中小企業,勞動基準法第21條第1項,481,2.9
中小企業,勞動基準法第7條,44,0.26
中小企業,勞動基準法第68條,3,0.02
中小企業,勞動基準法第30條第7項,3,0.02
中小企業,勞動基準法第19條,4,0.02
中小企業,勞動基準法第35條,54,0.33
中小企業,勞動基準法第59條第1項第2款,7,0.04
中小企業,勞動基準法第24條,3365,20.27
